utt_id,speaker_id,speaker_index,wav_path,mel_path,pitch_path,n_frames,duration_sec
spk_f1_000001,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000001.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000001.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000001.npy,645,3.225
spk_f1_000002,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000002.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000002.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000002.npy,395,1.975
spk_f1_000003,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000003.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000003.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000003.npy,242,1.210
spk_f1_000004,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000004.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000004.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000004.npy,280,1.400
spk_f1_000005,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000005.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000005.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000005.npy,223,1.115
spk_f1_000006,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000006.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000006.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000006.npy,895,4.475
spk_f1_000007,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000007.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000007.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000007.npy,479,2.395
spk_f1_000008,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000008.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000008.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000008.npy,338,1.690
spk_f1_000009,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000009.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000009.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000009.npy,274,1.370
spk_f1_000010,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000010.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000010.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000010.npy,498,2.490
spk_f1_000011,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000011.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000011.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000011.npy,376,1.880
spk_f1_000012,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000012.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000012.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000012.npy,447,2.235
spk_f1_000013,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000013.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000013.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000013.npy,203,1.015
spk_f1_000014,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000014.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000014.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000014.npy,395,1.975
spk_f1_000015,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000015.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000015.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000015.npy,255,1.275
spk_f1_000016,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000016.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000016.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000016.npy,210,1.050
spk_f1_000017,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000017.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000017.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000017.npy,235,1.175
spk_f1_000018,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000018.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000018.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000018.npy,613,3.065
spk_f1_000019,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000019.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000019.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000019.npy,319,1.595
spk_f1_000020,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000020.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000020.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000020.npy,357,1.785
spk_f1_000021,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000021.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000021.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000021.npy,229,1.145
spk_f1_000022,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000022.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000022.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000022.npy,415,2.075
spk_f1_000023,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000023.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000023.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000023.npy,619,3.095
spk_f1_000024,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000024.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000024.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000024.npy,248,1.240
spk_f1_000025,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000025.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000025.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000025.npy,351,1.755
spk_f1_000026,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000026.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000026.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000026.npy,613,3.065
spk_f1_000027,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000027.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000027.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000027.npy,555,2.775
spk_f1_000028,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000028.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000028.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000028.npy,203,1.015
spk_f1_000029,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000029.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000029.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000029.npy,427,2.135
spk_f1_000030,spk_f1,0,module3_dataset/data/cleaned/spk_f1/spk_f1_000030.wav,module3_dataset/data/features/spk_f1/mel/spk_f1_000030.npy,module3_dataset/data/features/spk_f1/pitch/spk_f1_000030.npy,248,1.240
